"Study","UniProt","Gene.Name","Description","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02730","SLC4A1","Band 3 anion transport protein","OID45260",0.492139439507861,78,NA,NA,"Weak correlation","Spearman","OID30369",0.26795463351062,88,0.0118080962962105,0.0163977130607892,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02743","APCS","Serum amyloid P-component","OID45435",0.82986633619545,78,NA,NA,"Strong correlation","Spearman","OID30778",0.792134831460674,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02745","C1QA","Complement C1q subcomponent subunit A","OID43432",-0.172675425839983,78,NA,NA,"No correlation","Spearman","OID20654",0.0964390123630728,88,0.370727892916208,0.419390572246893,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02748","C9","Complement component C9","OID45321",0.523843245362233,78,NA,NA,"Moderate correlation","Spearman","OID30698",0.850163784297841,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02749","APOH","Beta-2-glycoprotein 1","OID45033",0.257881359147182,78,NA,NA,"No correlation","Spearman","OID21072",0.508435771899546,88,6.28387103674471e-07,1.26012262886053e-06,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02750","LRG1","Leucine-rich alpha-2-glycoprotein","OID45476",0.615776628434856,78,NA,NA,"Moderate correlation","Spearman","OID30751",0.922528265999789,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02760","AMBP","Protein AMBP","OID43358",-0.15886645000569,78,NA,NA,"No correlation","Spearman","OID21413",0.600736148779543,88,3.78390427280295e-10,9.73127089748184e-10,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02763","ORM1","Alpha-1-acid glycoprotein 1","OID45480",0.691776577852527,78,NA,NA,"Moderate correlation","Spearman","OID30768",0.735112954433503,88,3.51297996071938e-16,9.99031328879642e-16,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02765","AHSG","Alpha-2-HS-glycoprotein","OID45303",0.144602233209828,78,NA,NA,"No correlation","Spearman","OID30706",0.615177344933254,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02766","TTR","Transthyretin","OID45501",0.184663437827995,78,NA,NA,"No correlation","Spearman","OID30782",0.455760628368145,88,1.0250922859223e-05,1.83995101876992e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02774","GC","Vitamin D-binding protein","OID45467",0.0968525145740335,78,NA,NA,"No correlation","Spearman","OID30780",-0.0418884588802398,88,0.69838590068443,0.739660114327131,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02775","PPBP","Platelet basic protein","OID45483",0.765955563423918,78,NA,NA,"Strong correlation","Spearman","OID30761",0.894896269944701,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02776","PF4","Platelet factor 4","OID45395",0.647441166428508,78,NA,NA,"Moderate correlation","Spearman","OID30764",0.777464689514283,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02786","TFRC","Transferrin receptor protein 1","OID45420",0.653081096119071,78,NA,NA,"Moderate correlation","Spearman","OID20369",0.611126765524286,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P02787","TF","Serotransferrin","OID45500",0.806396135510059,78,NA,NA,"Strong correlation","Spearman","OID30783",0.368842101559092,88,0.00040605719999593,0.000649346428888676,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P03950","ANG","Angiogenin","OID45305",0.388130856485287,78,NA,NA,"Weak correlation","Spearman","OID20403",0.281885104434504,88,0.00798142128707684,0.0112637807913872,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P03951","F11","Coagulation factor XI","OID45355",0.473842613083119,78,NA,NA,"Weak correlation","Spearman","OID30773",0.643771986604046,88,1.32883790004782e-11,3.56355816901185e-11,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P03952","KLKB1","Plasma kallikrein","OID45473",0.551107120727374,78,NA,NA,"Moderate correlation","Spearman","OID30760",0.793367616498186,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04040","CAT","Catalase","OID45323",0.747922963112836,78,NA,NA,"Strong correlation","Spearman","OID30712",0.813761403261597,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04054","PLA2G1B","Phospholipase A2","OID45224",0.380442342467659,78,NA,NA,"Weak correlation","Spearman","OID20252",0.730421110072411,53,5.38161358962188e-10,1.37462482866133e-09,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04062","GBA1","Lysosomal acid glucosylceramidase","OID43742",0.118931701210182,78,NA,NA,"No correlation","Spearman","OID30966",0.0186854989257159,88,0.862593909752511,0.888566171633745,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04066","FUCA1","Tissue alpha-L-fucosidase","OID45128",0.893903564789641,78,NA,NA,"Strong correlation","Spearman","OID20261",0.92822077517003,88,1.08311666016148e-38,3.47397360602929e-38,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04070","PROC","Vitamin K-dependent protein C","OID45401",0.293137242504331,78,NA,NA,"No correlation","Spearman","OID20402",0.649695325983586,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04080","CSTB","Cystatin-B","OID45094",0.358232600373438,78,NA,NA,"Weak correlation","Spearman","OID20294",0.750637308649577,88,3.76220621252116e-17,1.0891104651119e-16,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04083","ANXA1","Annexin A1","OID44463",0.549589650855474,78,NA,NA,"Moderate correlation","Spearman","OID30617",0.580342362016132,88,5.28953326150973e-09,1.24414230255093e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04114","APOB","Apolipoprotein B-100","OID45310",0.207096700767587,78,NA,NA,"No correlation","Spearman","OID30673",-0.180990454721567,88,0.0915002757203208,0.115811447632558,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04179","SOD2","Superoxide dismutase [Mn], mitochondrial","OID45263",0.45795976175723,78,NA,NA,"Weak correlation","Spearman","OID21114",0.714557430171533,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04180","LCAT","Phosphatidylcholine-sterol acyltransferase","OID45381",0.341392784430759,78,NA,NA,"Weak correlation","Spearman","OID30677",0.615417805903106,88,1.7671976794027e-10,4.62915587017551e-10,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04196","HRG","Histidine-rich glycoprotein","OID45469",0.543671518355063,78,NA,NA,"Moderate correlation","Spearman","OID30770",0.538392448311085,88,1.04548378040956e-07,2.24401366555589e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04216","THY1","Thy-1 membrane glycoprotein","OID44979",0.49974076556355,78,NA,NA,"Weak correlation","Spearman","OID21050",0.612799830932338,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04217","A1BG","Alpha-1B-glycoprotein","OID45433",0.494151418202051,78,NA,NA,"Weak correlation","Spearman","OID30771",0.443980680416584,88,1.4718041658656e-05,2.60858226571784e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04275","VWF","von Willebrand factor","OID45295",0.751514308476334,78,NA,NA,"Strong correlation","Spearman","OID20256",0.714275650734388,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04278","SHBG","Sex hormone-binding globulin","OID45411",0.882421376092262,78,NA,NA,"Strong correlation","Spearman","OID30685",0.887992673734635,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04406","GAPDH","Glyceraldehyde-3-phosphate dehydrogenase","OID44671",0.616155995902831,78,NA,NA,"Moderate correlation","Spearman","OID30600",0.373692367299496,88,0.000368226737634405,0.000592205109386386,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04439","HLA-A","HLA class I histocompatibility antigen, A alpha chain","OID43804",0.0631393922533163,78,NA,NA,"No correlation","Spearman","OID31048",0.181578947368421,39,0.267547263784986,0.31236903910367,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04626","ERBB2","Receptor tyrosine-protein kinase erbB-2","OID44633",0.550120765310639,78,NA,NA,"Moderate correlation","Spearman","OID21520",0.285823650034176,76,0.0125634895981777,0.0174252822559492,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P04792","HSPB1","Heat shock protein beta-1","OID45144",0.914566446212016,78,NA,NA,"Strong correlation","Spearman","OID20230",0.812951287379804,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05026","ATP1B1","Sodium/potassium-transporting ATPase subunit beta-1","OID42154",0.225685706698365,78,NA,NA,"No correlation","Spearman","OID30124",0.252747252747253,13,0.404328210459866,0.455575398811566,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05060","CHGB","Secretogranin-1","OID44537",0.648553977667902,78,NA,NA,"Moderate correlation","Spearman","OID21038",0.682047127610863,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05067","APP","Amyloid-beta precursor protein","OID45034",0.489851920231667,78,NA,NA,"Weak correlation","Spearman","OID21070",0.393399316684865,88,0.00016840529372438,0.00028001410399827,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05089","ARG1","Arginase-1","OID43379",0.0667560287813452,78,NA,NA,"No correlation","Spearman","OID21445",0.440579761191927,88,2.12520149166011e-05,3.74898825638166e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05090","APOD","Apolipoprotein D","OID45438",0.421666940654282,78,NA,NA,"Weak correlation","Spearman","OID30746",0.797347751047868,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05107","ITGB2","Integrin beta-2","OID45166",0.496149420200053,78,NA,NA,"Weak correlation","Spearman","OID20315",0.683491247226234,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05121","SERPINE1","Plasminogen activator inhibitor 1","OID45256",0.668078756686352,78,NA,NA,"Moderate correlation","Spearman","OID20342",0.856186819766828,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05154","SERPINA5","Plasma serine protease inhibitor","OID45492",0.281806800794142,78,NA,NA,"No correlation","Spearman","OID30763",0.53349653059068,88,1.41878964898126e-07,2.99404395084082e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05155","SERPING1","Plasma protease C1 inhibitor","OID45499",0.678549298802463,78,NA,NA,"Moderate correlation","Spearman","OID30777",0.551389524849424,88,4.51436816326322e-08,9.93512993435511e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05156","CFI","Complement factor I","OID45456",0.618331036052555,78,NA,NA,"Moderate correlation","Spearman","OID30772",0.695502095734564,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05160","F13B","Coagulation factor XIII B chain","OID45462",0.378722543279505,78,NA,NA,"Weak correlation","Spearman","OID30781",0.606858717815742,88,3.67178233219811e-10,9.46448002979833e-10,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05164","MPO","Myeloperoxidase","OID45189",0.784139910722189,78,NA,NA,"Strong correlation","Spearman","OID21100",0.662269733366208,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05362","ICAM1","Intercellular adhesion molecule 1","OID45372",0.724908003389016,78,NA,NA,"Strong correlation","Spearman","OID20411",0.728376635105485,88,8.82763526915294e-16,2.49784466638438e-15,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05413","FABP3","Fatty acid-binding protein, heart","OID44643",0.665220855094273,78,NA,NA,"Moderate correlation","Spearman","OID30351",0.775025799793602,18,0.000241003016039703,0.000394909151101342,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05451","REG1A","Lithostathine-1-alpha","OID45405",0.820230402508883,78,NA,NA,"Strong correlation","Spearman","OID20415",0.881044002041854,88,1.06607363815902e-29,3.35263826596526e-29,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05543","SERPINA7","Thyroxine-binding globulin","OID45494",0.516281187167263,78,NA,NA,"Moderate correlation","Spearman","OID30724",0.654714522207742,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05546","SERPIND1","Heparin cofactor 2","OID45496",0.649970282881675,78,NA,NA,"Moderate correlation","Spearman","OID30767",0.769317471389336,88,2.03827232748992e-18,6.05581436246346e-18,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05556","ITGB1","Integrin beta-1","OID45377",0.315646378937518,78,NA,NA,"Weak correlation","Spearman","OID20376",0.491002831020006,88,1.19209499180704e-06,2.31648062951832e-06,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P05976","MYL1","Myosin light chain 1/3, skeletal muscle isoform","OID42792",0.448465765039915,78,NA,NA,"Weak correlation","Spearman","OID30120",0.45273331319843,43,0.00253277948796497,0.00376746777590573,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06132","UROD","Uroporphyrinogen decarboxylase","OID45011",0.749111647845825,78,NA,NA,"Strong correlation","Spearman","OID30603",0.846007537599944,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06213","INSR","Insulin receptor","OID43867",0.258336600108752,78,NA,NA,"No correlation","Spearman","OID30566",0.299270908882696,68,0.0134497206172888,0.0185859664344175,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06276","BCHE","Cholinesterase","OID45317",0.670506708481392,78,NA,NA,"Moderate correlation","Spearman","OID30717",0.814254517276602,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06396","GSN","Gelsolin","OID45367",0.243870053996636,78,NA,NA,"No correlation","Spearman","OID30714",0.636419272043399,88,2.66693908200831e-11,7.10135430091364e-11,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06681","C2","Complement C2","OID45320",0.514131438182071,78,NA,NA,"Moderate correlation","Spearman","OID20410",0.586737816293491,88,1.88564942626181e-09,4.58814267726203e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06727","APOA4","Apolipoprotein A-IV","OID45437",0.293870686275749,78,NA,NA,"No correlation","Spearman","OID30733",0.751963650452608,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06730","EIF4E","Eukaryotic translation initiation factor 4E","OID43667",0.696834810758861,78,NA,NA,"Moderate correlation","Spearman","OID30557",0.783284228551283,62,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06733","ENO1","Alpha-enolase","OID44624",0.47960899859634,78,NA,NA,"Weak correlation","Spearman","OID21037",0.836691204959318,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06744","GPI","Glucose-6-phosphate isomerase","OID45366",0.670759620126709,78,NA,NA,"Moderate correlation","Spearman","OID30680",0.872318692543412,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06748","NPM1","Nucleophosmin","OID44037",0.544826007326007,78,NA,NA,"Moderate correlation","Spearman","OID20961",-0.111888111888112,12,0.732775446034506,0.767442930030573,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06756","ITGAV","Integrin alpha-V","OID43878",0.519796659037165,78,NA,NA,"Moderate correlation","Spearman","OID21416",0.696834810487234,88,4.69816182231669e-14,1.2874331789795e-13,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06858","LPL","Lipoprotein lipase","OID44756",0.754751577536388,78,NA,NA,"Strong correlation","Spearman","OID20188",0.821020770274502,66,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P06870","KLK1","Kallikrein-1","OID44729",0.699209486166008,78,NA,NA,"Moderate correlation","Spearman","OID21499",0.713675213675214,27,4.68175077897841e-05,8.14437076959418e-05,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P07093","SERPINE2","Glia-derived nexin","OID44923",0.731736617812567,78,NA,NA,"Strong correlation","Spearman","OID30359",0.66771978021978,64,1.8734607543559e-09,4.56833086753308e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P07148","FABP1","Fatty acid-binding protein, liver","OID44641",0.684568595961001,78,NA,NA,"Moderate correlation","Spearman","OID20778",0.884452670544685,61,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 5K)","P07237","P4HB","Protein disulfide-isomerase","OID44830",0.205427483908497,78,NA,NA,"No correlation","Spearman","OID21509",0.537153222651567,88,6.83183853640801e-08,1.48045023178592e-07,"Moderate correlation","Spearman"
